Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/07/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,AUT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40638E+11,2.4892E+11,2.54132E+11,2.5547E+11,2.61607E+11,2.68587E+11,2.74897E+11,2.80652E+11,2.90704E+11,3.01042E+11,3.11205E+11,3.15148E+11,3.20353E+11,3.23369E+11,3.32213E+11,3.39668E+11,3.51401E+11,3.64499E+11,3.69822E+11,3.559E+11,3.62438E+11,3.73031E+11,3.7557E+11,3.75666E+11,3.7815E+11,3.82472E+11,3.90273E+11,4.00228E+11,4.11151E+11
Azerbaijan,AZE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62925566323,62485087384,48363457388,37191498950,29864773650,26340730091,26683159634,28230783033,31053861415,33351847340,37053902146,40722238458,44565976479,49115405061,53660447066,68664733400,92330864173,1.15841E+11,1.28111E+11,1.40114E+11,1.46824E+11,1.44514E+11,1.47698E+11,1.56327E+11,1.607E+11,1.62389E+11,1.57413E+11,1.56969E+11,1.59187E+11
Burundi,BDI,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5587966256,5867187790,5926446291,5556636043,5343816882,4920586585,4526939658,4454961318,4666571980,4619439604,4579857286,4674010317,4881841094,4822100639,5055184481,5100681142,5376822182,5562427529,5832856791,6055248860,6365529700,6622226209,6916697286,7257288966,7565045310,7270008310,7226386806,7262519462,7378718075
Belgium,BEL,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05478E+11,3.11078E+11,3.1584E+11,3.12802E+11,3.22896E+11,3.30596E+11,3.35864E+11,3.48326E+11,3.55206E+11,3.67863E+11,3.8123E+11,3.84324E+11,3.91167E+11,3.94196E+11,4.08524E+11,4.1708E+11,4.27533E+11,4.42278E+11,4.45742E+11,4.35699E+11,4.47655E+11,4.55705E+11,4.56775E+11,4.57692E+11,4.63434E+11,4.71496E+11,4.78345E+11,4.86641E+11,4.93638E+11
Benin,BEN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7281933690,7589653602,7814133608,8270179892,8437270644,8947320415,9334227963,9869516849,10260449609,10808506330,11441883948,12051783372,12611524838,13045871410,13623755116,13856936261,14403871440,15266161439,16012661259,16385644372,16731414124,17227124155,18056864841,19355102198,20584505762,21015917559,21849169249,23124685144,24710576576
Burkina Faso,BFA,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7439527546,8114291539,8133174368,8414694841,8525348690,9012689494,10005414158,10637439635,11414793899,12259965668,12483126699,13308685745,13888013411,14971617310,15642117351,16997015908,18059866271,19081152633,20473026958,21079440959,22212117975,23684085089,25212347753,26672795516,27826883996,28910615366,30626210341,32556303536,34675654774
Bangladesh,BGD,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36764E+11,1.4153E+11,1.49234E+11,1.56265E+11,1.62344E+11,1.70658E+11,1.78376E+11,1.86385E+11,1.96035E+11,2.0519E+11,2.16051E+11,2.27021E+11,2.35722E+11,2.46895E+11,2.59831E+11,2.76813E+11,2.95282E+11,3.16125E+11,3.35136E+11,3.52044E+11,3.71659E+11,3.95684E+11,4.21489E+11,4.46835E+11,4.73918E+11,5.04973E+11,5.40894E+11,5.80294E+11,6.25926E+11
Bulgaria,BGR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81053453806,74208201700,68811493414,67792935484,69025418672,70999676408,71499997409,70721490961,75211583591,68887692567,72170722286,74891715699,79338423600,83429286030,88798259533,95123813386,1.01663E+11,1.0913E+11,1.15701E+11,1.11552E+11,1.13029E+11,1.15193E+11,1.15229E+11,1.15798E+11,1.17926E+11,1.22019E+11,1.26823E+11,1.31657E+11,1.35713E+11
Bahrain,BHR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17413790318,19369358758,20665168542,23324777112,23266464823,24180834923,25174668717,25953321167,27196485975,28365934589,29869327646,30613382623,31719795667,33630580678,35978313685,38413664047,40898477901,44289961205,47055926124,48251039581,50342436061,51341141015,53257321531,56142006331,58584095087,60260753039,62352357799,64723943609,65874537111
"Bahamas, The",BHS,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7944357197,7612141277,7320932573,7343466864,7574706439,7906384055,8240312592,8410247584,8806915415,9436091559,9827617929,10085660127,10358433019,10227427765,10317719581,10668042851,10936541393,11094743346,10836905175,10384436165,10544229522,10608854836,10936316964,10891431190,10875313116,10988955736,10803291851,10958555825,
